"dataset","algorithm","acc.mean","acc.sd","auc.mean","auc.sd","loss.mean","loss.sd","time.mean","time.sd"
"titanic","ExtraTrees",0.7893,0.0135,0.7892,0.0135,7.2787,0.4646,0.0141,0.0025
"titanic","Adaboost",0.7881,0.0131,0.8457,0.015,0.4819,0.0216,0.1816,0.0137
"titanic","GradientBoosting",0.789,0.0138,0.8456,0.0152,0.4819,0.0214,0.2654,0.0049
"titanic","RandomForest",0.7905,0.0128,0.8038,0.0149,4.4174,0.4383,0.0901,0.0014
"vehicle","GaussNaiveBayes",0.4492,0.0309,0.7424,0.021,2.5792,0.3559,0.0097,5e-04
"vehicle","KernelNaiveBayes",0.6212,0.0333,0.8551,0.0197,2.2125,0.4032,0.0416,0.0018
"vehicle","LinearDiscriminant",0.7812,0.0208,0.9561,0.0069,0.486,0.0394,0.0182,0.0033
"vehicle","GlmNet",0.7977,0.0252,0.9659,0.0055,0.4174,0.0365,2.1725,0.4775
"vehicle","Cart",0.675,0.0323,0.8938,0.0202,1.0589,0.4868,0.0184,9e-04
"vehicle","C4.5DecisionTree",0.7161,0.0361,0.8683,0.0221,4.8899,1.0118,0.0454,0.0011
"vehicle","LinearSvm",0.7993,0.0248,0.9664,0.0065,0.4246,0.0337,2.3697,0.1516
"vehicle","RegGaussBayes-diag",0.4488,0.031,0.7412,0.0207,2.5784,0.3532,0.0033,4e-04
"vehicle","RegGaussBayes-lowrank",0.6056,0.0396,0.8524,0.0231,1.3475,0.2239,0.0103,0.0022
"vehicle","RegGaussBayes",0.8188,0.0279,0.968,0.0075,0.4712,0.1287,0.0027,4e-04
"vehicle","BoostedRgb-diag",0.6996,0.0437,0.9016,0.0198,1.0494,0.0192,0.9297,0.0592
"vehicle","BoostedRgb-lowrank",0.7502,0.0243,0.9375,0.0089,0.9163,0.0265,1.2097,0.0818
"vehicle","BoostedRgb",0.8387,0.0256,0.9739,0.0052,0.6273,0.0235,0.9174,0.0665
"vehicle","NonlinearRbfSvm",0.8417,0.03,0.9766,0.0065,0.3501,0.0391,2.5912,0.0171
"vehicle","ExtraTrees",0.7398,0.0267,0.9534,0.0076,0.527,0.0309,0.0303,0.0044
"vehicle","Adaboost",0.7681,0.0303,0.9499,0.0094,5.3659,0.9008,0.8032,0.0139
"vehicle","GradientBoosting",0.7668,0.0248,0.9591,0.007,0.4622,0.0452,0.5145,0.0111
"vehicle","RandomForest",0.7455,0.0253,0.9534,0.007,0.5153,0.0284,0.1275,0.0025
"vowel","GaussNaiveBayes",0.5736,0.0362,0.9355,0.0077,1.1352,0.0728,0.0074,5e-04
"vowel","KernelNaiveBayes",0.6684,0.0349,0.9599,0.0064,0.8961,0.0672,0.0541,5e-04
"vowel","LinearDiscriminant",0.5409,0.0375,0.9219,0.0092,1.2634,0.0825,0.0182,0.0059
"vowel","GlmNet",0.5921,0.0369,0.9349,0.0086,1.1649,0.0899,1.3989,0.0639
"vowel","Cart",0.5271,0.0327,0.8924,0.0165,2.4466,0.5865,0.0329,0.0011
"vowel","C4.5DecisionTree",0.747,0.0336,0.8905,0.02,6.64,1.202,0.0463,0.0025
"vowel","LinearSvm",0.717,0.0397,0.9693,0.0056,0.8915,0.0482,3.0605,0.1347
"vowel","RegGaussBayes-diag",0.566,0.0363,0.9345,0.0079,1.1412,0.0674,0.0069,3e-04
"vowel","RegGaussBayes-lowrank",0.6776,0.0322,0.9594,0.0054,0.931,0.0807,0.0155,0.002
"vowel","RegGaussBayes",0.7914,0.0296,0.9847,0.0038,0.5428,0.0718,0.006,2e-04
"vowel","BoostedRgb-diag",0.6401,0.0317,0.9401,0.0066,1.7177,0.0209,2.4126,0.1121
"vowel","BoostedRgb-lowrank",0.783,0.0288,0.9739,0.0035,1.5321,0.0213,2.7674,0.1669
"vowel","BoostedRgb",0.919,0.0185,0.992,0.0033,1.22,0.0249,2.3068,0.0898
"vowel","NonlinearRbfSvm",0.9726,0.0128,0.9995,4e-04,0.159,0.0231,3.4557,0.0437
"vowel","ExtraTrees",0.9727,0.0097,0.9994,3e-04,0.3888,0.0234,0.0339,0.0033
"vowel","Adaboost",0.9377,0.0181,0.9968,0.0019,1.238,0.4919,1.3302,0.0315
"vowel","GradientBoosting",0.8854,0.028,0.9925,0.0029,0.3889,0.0535,1.0184,0.0239
"vowel","RandomForest",0.9429,0.0168,0.998,9e-04,0.4741,0.0236,0.1378,0.0037
"wine","GaussNaiveBayes",0.972,0.0293,0.9982,0.0022,0.0928,0.0977,0.0061,4e-04
"wine","KernelNaiveBayes",0.9683,0.0298,0.9975,0.0035,0.1257,0.1307,0.0224,0.0013
"wine","LinearDiscriminant",0.9851,0.0217,0.9993,0.0012,0.0404,0.0418,0.0098,0.0052
"wine","GlmNet",0.9757,0.0291,0.9982,0.0027,0.1166,0.0593,0.3614,0.0055
"wine","Cart",0.8659,0.0534,0.9368,0.0327,1.2075,0.9555,0.0073,7e-04
"wine","C4.5DecisionTree",0.9268,0.0426,0.9454,0.0296,2.0164,1.1158,0.0332,9e-04
"wine","LinearSvm",0.9776,0.0212,0.9986,0.0016,0.1066,0.0284,0.2046,0.0044
"wine","RegGaussBayes-diag",0.9767,0.0254,0.9979,0.0028,0.0974,0.1135,0.0036,5e-04
"wine","RegGaussBayes-lowrank",0.9766,0.0255,0.9976,0.0048,0.1067,0.1303,0.0075,0.0027
"wine","RegGaussBayes",0.9898,0.0172,0.9996,7e-04,0.0302,0.0406,0.0018,4e-04
"wine","BoostedRgb-diag",0.9795,0.0273,0.9984,0.0037,0.2687,0.039,0.5364,0.0677
"wine","BoostedRgb-lowrank",0.9789,0.022,0.9984,0.0028,0.2663,0.0303,0.5718,0.0799
"wine","BoostedRgb",0.9874,0.015,0.9994,0.001,0.1559,0.0184,0.5116,0.0825
"wine","NonlinearRbfSvm",0.9832,0.024,0.9991,0.0014,0.0814,0.0321,0.2582,0.0033
"wine","ExtraTrees",0.9832,0.0215,0.9993,0.0011,0.1445,0.0282,0.0054,9e-04
"wine","Adaboost",0.9665,0.0266,0.9925,0.0132,0.8094,0.784,0.0663,0.0218
"wine","GradientBoosting",0.9804,0.0234,0.9986,0.0023,0.0723,0.0836,0.0729,0.0011
"wine","RandomForest",0.9822,0.0202,0.9992,0.0013,0.1361,0.0292,0.0144,5e-04
"adult","GaussNaiveBayes",0.6117,0.0252,0.7265,0.0317,7.6476,1.6022,0.5404,0.0129
"adult","KernelNaiveBayes",0.8212,0.0317,0.9154,0.031,0.6681,0.1793,0.4979,0.0109
"adult","LinearDiscriminant",0.8379,0.0031,0.923,0.0026,0.3525,0.0062,2.4109,0.1756
"adult","GlmNet",NA,NA,NA,NA,NA,NA,NA,NA
"adult","Cart",0.8442,0.0044,0.9081,0.0041,0.3729,0.0067,3.8932,0.0612
"adult","C4.5DecisionTree",0.8616,0.0027,0.9218,0.0031,0.656,0.0555,10.8843,0.3059
"adult","LinearSvm",NA,NA,NA,NA,NA,NA,NA,NA
"adult","RegGaussBayes-diag",0.6372,0.0124,0.7628,0.0097,6.2068,0.46,0.2185,0.0057
"adult","RegGaussBayes-lowrank",0.6978,0.0155,0.7728,0.0181,1.4747,0.1457,0.6461,0.0116
"adult","RegGaussBayes",0.6404,0.0097,0.7652,0.0101,6.2812,0.4673,0.2169,0.0044
"adult","BoostedRgb-diag",0.8062,0.011,0.871,0.0196,1.9236,0.6458,18.7086,0.5003
"adult","BoostedRgb-lowrank",0.7121,0.0082,0.8593,0.0051,0.464,0.0142,36.6319,0.3734
"adult","BoostedRgb",0.8105,0.0073,0.8781,0.0226,1.3672,0.7504,18.6152,0.4807
"adult","BoostedRgb-iso",0.8157,0.0129,0.8726,0.0124,0.4546,0.0388,30.7228,0.3765
"adult","NonlinearRbfSvm",NA,NA,NA,NA,NA,NA,NA,NA
"adult","ExtraTrees",0.8338,0.0037,0.9164,0.0026,0.5729,0.0309,8.4013,0.1442
"adult","Adaboost",NA,NA,NA,NA,NA,NA,NA,NA
"adult","GradientBoosting",0.8658,0.003,0.947,0.0019,0.2947,0.0048,57.7679,0.7587
"adult","RandomForest",0.8608,0.0034,0.9312,0.0025,0.4758,0.0214,62.3351,1.8925
"dna","GaussNaiveBayes",0.9301,0.0254,0.9889,0.006,0.945,0.374,0.1304,0.004
"dna","KernelNaiveBayes",0.7207,0.0287,0.9161,0.0153,1.8444,0.5374,0.3409,0.0061
"dna","LinearDiscriminant",0.948,0.0077,0.9926,0.0014,0.1587,0.0182,0.3297,0.0103
"dna","GlmNet",NA,NA,NA,NA,NA,NA,NA,NA
"dna","Cart",0.9058,0.0093,0.9701,0.0042,0.3318,0.0549,0.2956,0.0058
"dna","C4.5DecisionTree",0.9222,0.0083,0.9443,0.0103,1.585,0.3161,0.4286,0.0055
"dna","LinearSvm",NA,NA,NA,NA,NA,NA,NA,NA
"dna","RegGaussBayes-diag",0.9445,0.0093,0.9922,0.0016,0.2961,0.054,0.0467,0.0013
"dna","RegGaussBayes-lowrank",0.9183,0.0123,0.9851,0.0032,0.2683,0.0439,0.1151,0.0048
"dna","RegGaussBayes",0.9416,0.008,0.992,0.0018,0.3559,0.0733,0.0451,9e-04
"dna","BoostedRgb-diag",0.9482,0.0077,0.9887,0.0024,0.4476,0.0174,8.181,0.0845
"dna","BoostedRgb-lowrank",0.9392,0.0074,0.988,0.002,0.4581,0.0107,13.4676,0.2913
"dna","BoostedRgb",0.8722,0.0175,0.9725,0.0086,0.4934,0.0435,8.1674,0.1408
"dna","BoostedRgb-iso",0.913,0.0113,0.9921,0.0031,0.3094,0.0194,15.6467,0.1837
"dna","NonlinearRbfSvm",NA,NA,NA,NA,NA,NA,NA,NA
"dna","ExtraTrees",0.9565,0.0062,0.9938,0.0013,0.2749,0.025,0.1694,0.008
"dna","Adaboost",NA,NA,NA,NA,NA,NA,NA,NA
"dna","GradientBoosting",0.9617,0.0052,0.9951,0.0013,0.1195,0.0131,10.8253,0.1659
"dna","RandomForest",0.9546,0.0075,0.9939,0.0011,0.293,0.0091,3.7014,0.0635
"letter","GaussNaiveBayes",0.6428,0.0065,0.9566,0.0016,1.6262,0.047,0.0522,0.0036
"letter","KernelNaiveBayes",0.7053,0.0075,0.9769,0.001,1.3615,0.0419,0.2528,0.0154
"letter","LinearDiscriminant",0.7024,0.0071,0.9663,0.0013,1.3588,0.0464,0.3046,0.1465
"letter","GlmNet",NA,NA,NA,NA,NA,NA,NA,NA
"letter","Cart",0.4737,0.0101,0.9024,0.0033,1.8439,0.0302,0.3136,0.0086
"letter","C4.5DecisionTree",0.8738,0.0053,0.9513,0.0023,3.195,0.1496,0.7382,0.2186
"letter","LinearSvm",NA,NA,NA,NA,NA,NA,NA,NA
"letter","RegGaussBayes-diag",0.6412,0.0064,0.9565,0.0015,1.6188,0.0464,0.1746,0.0056
"letter","RegGaussBayes-lowrank",0.6818,0.007,0.9667,0.0013,1.506,0.0458,0.2042,0.0132
"letter","RegGaussBayes",0.8822,0.0048,0.9961,4e-04,0.5067,0.0307,0.1712,0.0076
"letter","BoostedRgb-diag",0.6778,0.0116,0.9686,0.0014,1.7418,0.0416,68.469,0.866
"letter","BoostedRgb-lowrank",0.7061,0.0135,0.9739,0.0016,1.6866,0.0382,78.8411,0.9308
"letter","BoostedRgb",0.9293,0.0034,0.9966,3e-04,1.5663,0.0125,40.8969,0.4413
"letter","BoostedRgb-iso",0.9173,0.0039,0.9973,2e-04,0.7971,0.0141,69.8116,0.6933
"letter","NonlinearRbfSvm",NA,NA,NA,NA,NA,NA,NA,NA
"letter","ExtraTrees",0.9728,0.002,0.9997,1e-04,0.2669,0.0077,0.7534,0.1247
"letter","Adaboost",NA,NA,NA,NA,NA,NA,NA,NA
"letter","GradientBoosting",0.8994,0.0041,0.9967,4e-04,0.4127,0.0104,65.7891,0.7363
"letter","RandomForest",0.9643,0.003,0.9995,1e-04,0.2759,0.0065,6.56,0.7564
"optdigits","GaussNaiveBayes",0.8085,0.0173,0.9762,0.0033,3.1053,0.3817,0.1941,0.6455
"optdigits","KernelNaiveBayes",0.8698,0.0091,0.9847,0.0025,1.4904,0.1615,0.3619,0.0132
"optdigits","LinearDiscriminant",0.9502,0.0061,0.9976,6e-04,0.2357,0.0379,0.2554,0.2182
"optdigits","GlmNet",NA,NA,NA,NA,NA,NA,NA,NA
"optdigits","Cart",0.7648,0.0204,0.9427,0.0066,1.0289,0.0871,0.2441,0.0546
"optdigits","C4.5DecisionTree",0.9017,0.0101,0.9529,0.0048,2.711,0.2866,0.3764,0.0973
"optdigits","LinearSvm",NA,NA,NA,NA,NA,NA,NA,NA
"optdigits","RegGaussBayes-diag",0.9035,0.0087,0.9868,0.0021,1.5196,0.1274,0.0236,8e-04
"optdigits","RegGaussBayes-lowrank",0.923,0.0085,0.9916,0.0021,0.8824,0.1255,0.0807,0.0147
"optdigits","RegGaussBayes",0.9746,0.0039,0.9952,0.0018,0.4974,0.1014,0.0225,8e-04
"optdigits","BoostedRgb-diag",0.7564,0.035,0.7676,0.115,6.8694,3.914,12.8413,0.2481
"optdigits","BoostedRgb-lowrank",0.9651,0.0077,0.9966,0.0017,0.847,0.0393,18.7437,0.5675
"optdigits","BoostedRgb",0.9869,0.0036,0.9992,6e-04,0.4369,0.0449,12.7754,0.1817
"optdigits","BoostedRgb-iso",0.9885,0.003,0.9997,2e-04,0.1911,0.0102,26.1351,0.4231
"optdigits","NonlinearRbfSvm",NA,NA,NA,NA,NA,NA,NA,NA
"optdigits","ExtraTrees",0.986,0.0033,0.9998,1e-04,0.2018,0.0073,0.2649,0.2034
"optdigits","Adaboost",NA,NA,NA,NA,NA,NA,NA,NA
"optdigits","GradientBoosting",0.9729,0.0039,0.9994,2e-04,0.0997,0.0107,23.0262,1.3467
"optdigits","RandomForest",0.983,0.003,0.9997,1e-04,0.2225,0.0077,2.7606,0.1462
"penbased","GaussNaiveBayes",0.8577,0.0065,0.9842,0.0012,1.3209,0.0974,0.0304,0.001
"penbased","KernelNaiveBayes",0.8641,0.0051,0.988,0.0012,0.9869,0.0842,0.1054,0.0024
"penbased","LinearDiscriminant",0.876,0.0067,0.9913,8e-04,0.545,0.0401,0.1631,0.0621
"penbased","GlmNet",NA,NA,NA,NA,NA,NA,NA,NA
"penbased","Cart",0.8155,0.0117,0.9709,0.0024,0.7045,0.0342,0.1317,0.0043
"penbased","C4.5DecisionTree",0.9617,0.004,0.983,0.0023,0.9707,0.1339,0.2453,0.1572
"penbased","LinearSvm",NA,NA,NA,NA,NA,NA,NA,NA
"penbased","RegGaussBayes-diag",0.8579,0.0062,0.9842,0.0012,1.2977,0.094,0.02,9e-04
"penbased","RegGaussBayes-lowrank",0.9456,0.0042,0.9973,5e-04,0.3672,0.0437,0.0488,0.0019
"penbased","RegGaussBayes",0.9829,0.0031,0.999,4e-04,0.1681,0.0385,0.0188,6e-04
"penbased","BoostedRgb-diag",0.9143,0.0071,0.9906,0.0013,1.1023,0.0342,9.8933,0.153
"penbased","BoostedRgb-lowrank",0.985,0.0026,0.999,4e-04,0.9829,0.034,12.8496,0.2612
"penbased","BoostedRgb",0.9952,0.0015,0.9996,3e-04,0.5347,0.0266,9.8765,0.1597
"penbased","BoostedRgb-iso",0.9951,0.0015,0.9997,2e-04,0.2558,0.0105,19.5584,0.2724
"penbased","NonlinearRbfSvm",NA,NA,NA,NA,NA,NA,NA,NA
"penbased","ExtraTrees",0.9936,0.0016,0.9997,2e-04,0.081,0.0106,0.1983,0.0317
"penbased","Adaboost",NA,NA,NA,NA,NA,NA,NA,NA
"penbased","GradientBoosting",0.9862,0.0024,0.9996,2e-04,0.058,0.006,14.2015,0.1739
"penbased","RandomForest",0.9913,0.0019,0.9997,2e-04,0.0869,0.0101,2.4053,0.1006
"satellite","GaussNaiveBayes",0.7961,0.0102,0.9619,0.0023,3.945,0.1996,0.0414,0.0025
"satellite","KernelNaiveBayes",0.8198,0.0103,0.9719,0.002,3.237,0.1748,0.1372,0.0041
"satellite","LinearDiscriminant",0.8396,0.0077,0.9774,0.0019,0.6362,0.0677,0.1546,0.0056
"satellite","GlmNet",NA,NA,NA,NA,NA,NA,NA,NA
"satellite","Cart",0.8108,0.0153,0.9555,0.0082,0.6556,0.065,0.1414,0.0036
"satellite","C4.5DecisionTree",0.8627,0.0093,0.9316,0.006,3.2091,0.2894,0.2662,0.0122
"satellite","LinearSvm",NA,NA,NA,NA,NA,NA,NA,NA
"satellite","RegGaussBayes-diag",0.796,0.0102,0.9619,0.0023,3.944,0.1996,0.0128,5e-04
"satellite","RegGaussBayes-lowrank",0.796,0.0107,0.9592,0.0029,1.8906,0.1312,0.0395,0.0019
"satellite","RegGaussBayes",0.8567,0.0063,0.9783,0.0018,0.8565,0.0736,0.0123,5e-04
"satellite","BoostedRgb-diag",0.8429,0.0083,0.9627,0.003,0.504,0.0329,10.3129,0.3159
"satellite","BoostedRgb-lowrank",0.8428,0.0071,0.9736,0.0023,0.459,0.013,12.2525,0.2494
"satellite","BoostedRgb",0.8673,0.0081,0.9747,0.0018,0.4291,0.0229,7.4613,0.2411
"satellite","BoostedRgb-iso",0.84,0.0051,0.9741,0.0023,0.5408,0.0094,11.0054,0.2548
"satellite","NonlinearRbfSvm",NA,NA,NA,NA,NA,NA,NA,NA
"satellite","ExtraTrees",0.9183,0.0064,0.9949,5e-04,0.2488,0.0095,0.1854,0.0238
"satellite","Adaboost",NA,NA,NA,NA,NA,NA,NA,NA
"satellite","GradientBoosting",0.9057,0.0059,0.9933,7e-04,0.2534,0.0114,9.7771,0.4548
"satellite","RandomForest",0.9172,0.0067,0.9944,7e-04,0.2531,0.0124,2.1746,0.0921
"shuttle","GaussNaiveBayes",0.8485,0.0085,0.9846,0.0011,0.5785,0.0256,0.0764,0.0411
"shuttle","KernelNaiveBayes",0.9904,0.0026,0.9988,3e-04,0.072,0.0115,0.0986,0.0068
"shuttle","LinearDiscriminant",0.8469,0.0442,0.9791,0.0111,1.1992,0.7149,0.4338,0.1562
"shuttle","GlmNet",NA,NA,NA,NA,NA,NA,NA,NA
"shuttle","Cart",0.9947,3e-04,0.9987,1e-04,0.0389,0.0031,0.1961,0.0039
"shuttle","C4.5DecisionTree",0.9996,2e-04,0.9999,1e-04,0.0067,0.0044,0.5423,0.2645
"shuttle","LinearSvm",NA,NA,NA,NA,NA,NA,NA,NA
"shuttle","RegGaussBayes-diag",0.9228,0.0053,0.9944,4e-04,0.2961,0.02,0.0543,9e-04
"shuttle","RegGaussBayes-lowrank",0.9282,0.0249,0.9913,0.0035,0.3671,0.1211,0.1188,0.0135
"shuttle","RegGaussBayes",0.9625,0.0074,0.998,3e-04,0.1507,0.0269,0.0535,0.0012
"shuttle","BoostedRgb-diag",0.989,0.0054,0.9996,1e-04,0.4459,0.073,15.9592,0.1744
"shuttle","BoostedRgb-lowrank",0.9598,0.0076,0.9985,1e-04,0.6822,0.0696,21.786,0.297
"shuttle","BoostedRgb",0.9875,0.0065,0.9997,2e-04,0.4035,0.0432,16.0104,0.1429
"shuttle","BoostedRgb-iso",0.9853,0.0042,0.9868,0.0096,0.2243,0.0519,32.5853,0.3561
"shuttle","NonlinearRbfSvm",NA,NA,NA,NA,NA,NA,NA,NA
"shuttle","ExtraTrees",0.9997,1e-04,1,0,0.0011,5e-04,0.6973,0.0766
"shuttle","Adaboost",NA,NA,NA,NA,NA,NA,NA,NA
"shuttle","GradientBoosting",0.9998,1e-04,1,0,7e-04,5e-04,35.8609,0.306
"shuttle","RandomForest",0.9998,1e-04,1,0,9e-04,2e-04,8.1312,5.1291
"texture","GaussNaiveBayes",0.775,0.01,0.9781,0.0013,3.2204,0.1555,0.048,0.002
"texture","KernelNaiveBayes",0.8016,0.0095,0.9816,0.0013,2.7484,0.1493,0.258,0.0045
"texture","LinearDiscriminant",0.9946,0.0017,1,0,0.0166,0.0068,0.1572,0.0373
"texture","GlmNet",NA,NA,NA,NA,NA,NA,NA,NA
"texture","Cart",0.8102,0.0133,0.9765,0.0022,0.7132,0.0639,0.3518,0.011
"texture","C4.5DecisionTree",0.9281,0.0089,0.9697,0.0044,1.8626,0.263,0.2801,0.0321
"texture","LinearSvm",NA,NA,NA,NA,NA,NA,NA,NA
"texture","RegGaussBayes-diag",0.7741,0.0096,0.978,0.0013,3.2252,0.1556,0.0175,6e-04
"texture","RegGaussBayes-lowrank",0.9602,0.0045,0.9988,3e-04,0.4649,0.0837,0.0591,0.0057
"texture","RegGaussBayes",0.9983,0.0011,1,0,0.0097,0.009,0.0165,5e-04
"texture","BoostedRgb-diag",0.8231,0.0081,0.9777,0.0021,0.6214,0.0402,18.4564,0.3182
"texture","BoostedRgb-lowrank",0.9739,0.005,0.999,6e-04,0.1635,0.0317,21.9618,0.3674
"texture","BoostedRgb",0.9992,8e-04,1,0,0.0063,0.002,13.8867,0.236
"texture","BoostedRgb-iso",0.9989,0.0011,1,0,0.0545,0.0086,19.206,0.3763
"texture","NonlinearRbfSvm",NA,NA,NA,NA,NA,NA,NA,NA
"texture","ExtraTrees",0.9848,0.0032,0.9999,1e-04,0.1366,0.0058,0.1469,0.0187
"texture","Adaboost",NA,NA,NA,NA,NA,NA,NA,NA
"texture","GradientBoosting",0.9782,0.0041,0.9995,3e-04,0.0806,0.0127,17.6259,0.169
"texture","RandomForest",0.977,0.0038,0.9997,1e-04,0.1438,0.0071,1.7533,0.1321
